name,rows,cols,nonzeros,cells,density,nonzeros_per_col
25FV47,822,1571,11127,1291362,0.00861648399132,7.08274984087
80BAU3B,2263,9799,29063,22175137,0.00131061197051,2.96591488927
ADLITTLE,57,97,465,5529,0.0841020075963,4.79381443299
AFIRO,28,32,88,896,0.0982142857143,2.75
AGG,489,163,2541,79707,0.0318792577816,15.5889570552
AGG2,517,302,4515,156134,0.0289174683285,14.9503311258
AGG3,517,302,4531,156134,0.0290199444067,15.0033112583
BANDM,306,472,2659,144432,0.0184100476349,5.63347457627
BEACONFD,174,262,3476,45588,0.0762481354742,13.2671755725
BLEND,75,83,521,6225,0.0836947791165,6.27710843373
BNL1,644,1175,6129,756700,0.00809964318752,5.21617021277
BNL2,2325,3489,16124,8111925,0.00198769096115,4.62138148467
BOEING1,351,384,3865,134784,0.0286755104463,10.0651041667
BOEING2,167,143,1339,23881,0.0560696788242,9.36363636364
BORE3D,234,315,1525,73710,0.0206891873559,4.84126984127
BRANDY,221,249,2150,55029,0.0390703083829,8.63453815261
CAPRI,272,353,1786,96016,0.0186010664889,5.05949008499
CYCLE,1904,2857,21322,5439728,0.00391968127818,7.46307315366
CZPROB,930,3523,14173,3276390,0.00432579760041,4.02299176838
D2Q06C,2172,5167,35674,11222724,0.00317872915702,6.90419972905
D6CUBE,416,6184,43888,2572544,0.0170601552393,7.09702457956
DEGEN2,445,534,4449,237630,0.0187223835374,8.33146067416
DEGEN3,1504,1818,26230,2734272,0.00959304707066,14.4279427943
DFL001,6072,12230,41873,74260560,0.00056386593368,3.4237939493
E226,224,282,2767,63168,0.0438038247214,9.81205673759
ETAMACRO,401,688,2489,275888,0.00902177695297,3.61773255814
FFFFF800,525,854,6235,448350,0.013906546225,7.30093676815
FINNIS,498,614,2714,305772,0.00887589445731,4.42019543974
FIT1D,25,1026,14430,25650,0.562573099415,14.0643274854
FIT1P,628,1677,10894,1053156,0.0103441465462,6.49612403101
FIT2D,26,10500,138018,273000,0.50556043956,13.1445714286
FIT2P,3001,13525,60784,40588525,0.00149756612244,4.49419593346
FORPLAN,162,421,4916,68202,0.072079997654,11.67695962
GANGES,1310,1681,7021,2202110,0.00318830576129,4.17668054729
GFRD-PNC,617,1092,3467,673764,0.00514571867894,3.17490842491
GREENBEA,2393,5405,31499,12934165,0.00243533308876,5.82775208141
GREENBEB,2393,5405,31499,12934165,0.00243533308876,5.82775208141
GROW15,301,645,5665,194145,0.0291792217157,8.78294573643
GROW22,441,946,8318,417186,0.019938348842,8.79281183932
GROW7,141,301,2633,42441,0.0620390659975,8.74750830565
ISRAEL,175,142,2358,24850,0.0948893360161,16.6056338028
KB2,44,41,291,1804,0.161308203991,7.09756097561
LOTFI,154,308,1086,47432,0.0228959352336,3.52597402597
MAROS,847,1443,10006,1222221,0.00818673545946,6.93416493416
MAROS-R7,3137,9408,151120,29512896,0.00512047343643,16.0629251701
MODSZK1,688,1620,4158,1114560,0.00373062015504,2.56666666667
NESM,663,2923,13988,1937949,0.00721794020379,4.78549435511
PEROLD,626,1376,6026,861376,0.0069957834906,4.37936046512
PILOT,1442,3652,43220,5266184,0.00820708125656,11.834611172
PILOT.JA,941,1988,14706,1870708,0.00786119479897,7.39738430584
PILOT.WE,723,2789,9218,2016447,0.00457140703425,3.30512728577
PILOT4,411,1000,5145,411000,0.0125182481752,5.145
PILOT87,2031,4883,73804,9917373,0.00744189010537,15.114478804
PILOTNOV,976,2172,13129,2119872,0.0061932984633,6.04465930018
QAP8,913,1632,8304,1490016,0.00557309451711,5.08823529412
QAP12,3193,8856,44244,28277208,0.00156465235182,4.99593495935
QAP15,6331,22275,110700,141023025,0.000784978197709,4.9696969697
RECIPE,92,180,752,16560,0.0454106280193,4.17777777778
SC105,106,103,281,10918,0.0257373145265,2.72815533981
SC205,206,203,552,41818,0.0132000573916,2.71921182266
SC50A,51,48,131,2448,0.0535130718954,2.72916666667
SC50B,51,48,119,2448,0.0486111111111,2.47916666667
SCAGR25,472,500,2029,236000,0.00859745762712,4.058
SCAGR7,130,140,553,18200,0.0303846153846,3.95
SCFXM1,331,457,2612,151267,0.0172674806799,5.71553610503
SCFXM2,661,914,5229,604154,0.00865507800991,5.72100656455
SCFXM3,991,1371,7846,1358661,0.00577480328058,5.72283005106
SCORPION,389,358,1708,139262,0.0122646522382,4.77094972067
SCRS8,491,1169,4029,573979,0.00701942057114,3.44653550043
SCSD1,78,760,3148,59280,0.0531039136302,4.14210526316
SCSD6,148,1350,5666,199800,0.0283583583584,4.19703703704
SCSD8,398,2750,11334,1094500,0.0103554134308,4.12145454545
SCTAP1,301,480,2052,144480,0.0142026578073,4.275
SCTAP2,1091,1880,8124,2051080,0.00396084014275,4.32127659574
SCTAP3,1481,2480,10734,3672880,0.00292250223258,4.32822580645
SEBA,516,1028,4874,530448,0.00918845956625,4.74124513619
SHARE1B,118,225,1182,26550,0.0445197740113,5.25333333333
SHARE2B,97,79,730,7663,0.0952629518465,9.24050632911
SHELL,537,1775,4900,953175,0.00514071392976,2.76056338028
SHIP04L,403,2118,8450,853554,0.0098997837278,3.9896128423
SHIP04S,403,1458,5810,587574,0.00988811622025,3.98491083676
SHIP08L,779,4283,17085,3336457,0.00512070139073,3.98902638338
SHIP08S,779,2387,9501,1859473,0.00510951221126,3.98031001257
SHIP12L,1152,5427,21597,6251904,0.00345446763098,3.97954671089
SHIP12S,1152,2763,10941,3182976,0.00343734919773,3.95982627579
SIERRA,1228,2036,9252,2500208,0.00370049211906,4.5442043222
STAIR,357,467,3857,166719,0.023134735693,8.2591006424
STANDATA,360,1075,3038,387000,0.00785012919897,2.82604651163
STANDGUB,362,1184,3147,428608,0.0073423734508,2.65793918919
STANDMPS,468,1075,3686,503100,0.00732657523355,3.4288372093
STOCFOR1,118,111,474,13098,0.036188731104,4.27027027027
STOCFOR2,2158,2031,9492,4382898,0.00216569037199,4.67355982275
STOCFOR3,16676,15695,74004,261729820,0.000282749592691,4.71513220771
TRUSS,1001,8806,36642,8814806,0.00415686970309,4.16102657279
TUFF,334,587,4523,196058,0.0230697038631,7.70528109029
VTP.BASE,199,203,914,40397,0.0226254424834,4.50246305419
WOOD1P,245,2594,70216,635530,0.110484162825,27.0686198921
WOODW,1099,8405,37478,9237095,0.00405733620797,4.45901249256
